"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*ma-demdem","acd-s_d.htm#7569","dark, overcast, gloomy"
"*ma-diŋin","acd-s_d.htm#11578","cold"
"*ma-diRi","acd-s_d.htm#12075","to stand, be standing"
"*ma-epat","acd-s_s2.htm#5169","divided into four (?)"
"*ma-esak","acd-s_e1.htm#2404","cooked, ripe"
"*ma-gatel","acd-s_g.htm#7152","itchy"
"*ma-hasak","acd-s_s2.htm#11886","ripe, cooked"
"*ma-hataq","acd-s_h.htm#2603","raw, uncooked"
"*ma-hemis","acd-s_h.htm#2648","sweet"
"*ma-heRet","acd-s_s2.htm#8211","tight, firm"
"*ma-heyaq","acd-s_s2.htm#5206","shy, embarrassed; ashamed"
"*ma-huab₁","acd-s_s2.htm#5362","to yawn, yawning"
"*ma-hulem","acd-s_s2.htm#5393","dim, dark"
"*mai","acd-s_m.htm#3574","and"
"*ma-iRaq","acd-s_m.htm#4570","red"
"*ma-isa","acd-s_i1.htm#2970","only, alone"
"*ma-isi","acd-s_i1.htm#2988","filled with"
"*maja","acd-s_m.htm#7549","dry up, evaporate"
"*maka-duha","acd-s_d.htm#7886","do something twice (?)"
"*ma-kaen","acd-s_k.htm#8010","will eat (?)"
"*maka-enem","acd-s_e1.htm#2366","six times (frequentative multiplicative)"
"*maka-lima","acd-s_l.htm#7391","five times"
"*maka-pija","acd-s_p.htm#8052","(for) how many days?"
"*maka-pitu","acd-s_p.htm#8314","(gloss uncertain)"
"*ma-kaRat","acd-s_k.htm#7719","to be bitten"
"*maka-Sepat","acd-s_s2.htm#5170","four times"
"*maka-walu","acd-s_w.htm#5947","eight times (frequentative, multiplicative)"
"*ma-keseR","acd-s_k.htm#11020","strong, vigorous, energetic, forceful"
"*maket","acd-s_m.htm#12819","to stick, adhere to; sticky, adhesive"
"*maki-empu","acd-s_e1.htm#2345","grandchild"
"*ma-kiluq","acd-s_k.htm#9950","bent, crooked, twisted"
"*ma-kuja","acd-s_k.htm#7471","what are you doing?  what’s happening?"
"*ma-kutu","acd-s_k.htm#7643","having lice, lice-infested"
"*malaŋ","acd-s_m.htm#12599","misfortune, bad luck"
"*ma-laŋu","acd-s_l.htm#3394","dizzy, drunk"
"*ma-laRiw","acd-s_l.htm#3362","run, run away, flee"
"*ma-layu","acd-s_l.htm#7112","wilted, withered"
"*malem","acd-s_m.htm#11519","night, darkness"
"*males","acd-s_m.htm#11854","become soft or weak (of things or people)"
"*mali","acd-s_m.htm#8448","a plant:  spp."
"*mali-mali","acd-s_m.htm#3566","a plant,  spp."
"*ma-linaw","acd-s_l.htm#11673","calm, still, as the surface of water"
"*maliqi","acd-s_m.htm#3563","pregnant"
"*maliraŋ","acd-s_m.htm#3564","sulphur"
"*ma-litlit","acd-s_l.htm#11461","be or become wound around something"
"*ma-lumu","acd-s_l.htm#6432","soft, tender, gentle"
"*mama","acd-s_m.htm#8746","parent’s younger sibling, junior uncle; a young child’s term of address for his father, vocative of"
"*ma-maja","acd-s_m.htm#7550","dry up"
"*mamaq","acd-s_m.htm#8748","chew without intending to swallow, as betel nut; premasticate food to give to an infant; premasticated food"
"*ma-m-atay","acd-s_a1.htm#66","as if dead?"
"*m-ami","acd-s_a1.htm#9706","1pl. excl. genitive, our"
"*mamin₁","acd-s_m.htm#3567","a fish: wrasse spp."
"*ma-najam","acd-s_n1.htm#3642","accustomed to, familiar with; tame"
"*ma-naŋis","acd-s_c2.htm#2043","to weep, to cry"
"*ma-nipis","acd-s_n2.htm#12577","thin (of materals)"
"*ma-niwaŋ","acd-s_n2.htm#7052","thin, of people and animals"
"*manu","acd-s_m.htm#3571","interrogative marker: which?"
"*manuk","acd-s_m.htm#6949","chicken"
"*ma-nuka","acd-s_n2.htm#11945","wounded"
"*manu(k)-manuk","acd-s_m.htm#6951","bird"
"*ma-nunuh","acd-s_c2.htm#2135","to roast"
"*ma-nuRuq","acd-s_n1.htm#3713","lucky"
"*ma-ñawa","acd-s_n2.htm#7970","to breathe"
"*ma-ñilu","acd-s_n3.htm#12401","painful sensation, teeth or joints"
"*maŋa₁","acd-s_m.htm#6668","prenominal marker of plurality"
"*ma-ŋaen","acd-s_k.htm#8013","to eat"
"*ma-ŋali","acd-s_k.htm#7704","to dig, dig up"
"*maŋaq","acd-s_m.htm#3577","slit, crevice"
"*ma-ŋayaw","acd-s_n4.htm#6528","go headhunting"
"*ma-ŋilu","acd-s_n4.htm#7505","painful, as of teeth on edge from eating something very sour"
"*maŋ-inum","acd-s_i1.htm#2920","to drink (trans.)"
"*maŋ-qanitu","acd-s_q.htm#4210","make offering to spirits (?)"
"*maŋ-qezen","acd-s_q.htm#4507","bear down, press out, as in defecation or childbirth"
"*maŋsit","acd-s_m.htm#3579","vile smell"
"*maŋsit","acd-s_m.htm#10175","sour, rancid"
"*ma-panas","acd-s_p.htm#3795","warm, hot"
"*ma-paqit","acd-s_p.htm#6875","bitter"
"*ma-penuq","acd-s_p.htm#6988","full"
"*ma-pia","acd-s_p.htm#8640","good"
"*ma-pilay","acd-s_p.htm#11051","lame, crippled"
"*ma-piliq","acd-s_p.htm#8117","choosy, fussy, fastidious"
"*ma-pizpiz","acd-s_p.htm#7415","closely spaced, set close together"
"*mapu₁","acd-s_m.htm#12571","taro variety"
"*mapu₂","acd-s_m.htm#12572","unpleasant odor"
"*mampus","acd-s_m.htm#3568","gone, used up"
"*ma-putiq","acd-s_p.htm#7946","white"
"*ma-qajaw","acd-s_q.htm#4150","sunny, hot"
"*ma-qañud","acd-s_q.htm#4414","adrift"
"*ma-qasin","acd-s_q.htm#4309","salty"
"*ma-qasiq","acd-s_q.htm#4322","to pity, have mercy on, feel compassion for"
"*ma-qasu","acd-s_q.htm#4336","smoky"
"*ma-qataq","acd-s_q.htm#4341","raw, unripe"
"*ma-qati","acd-s_q.htm#4145","ebb, of water in streams; low tide"
"*ma-qesak","acd-s_q.htm#4479","ripe; cooked; ready to eat"
"*ma-qe(n)sem","acd-s_q.htm#4514","sour"
"*ma-qetaq","acd-s_q.htm#4488","raw, unripe, green (fruit), uncooked"
"*ma-qeti","acd-s_q.htm#4492","low, of the tide"
"*ma-qitem","acd-s_q.htm#4590","black, deep blue"
"*ma-qudem","acd-s_q.htm#12890","dark, cloudy"
"*ma-qudip","acd-s_q.htm#4640","living, alive; grow, flourish; fresh; heal, cure, revive, recover; vital principle, soul, spirit; flame"
"*ma-quSaw","acd-s_q.htm#4750","thirsty"
"*ma-qutaŋ","acd-s_q.htm#4760","be in debt, owe"
"*ma-quzaN","acd-s_q.htm#4783","rainy"
"*ma-Rabun","acd-s_r2.htm#8684","cloudy, misty, hazy"
"*maR-amax","acd-s_a1.htm#136","to be father and child"
"*maR-anak","acd-s_a1.htm#198","give birth; have a child"
"*ma-Raqan","acd-s_r2.htm#4827","light in weight"
"*maR-buaq","acd-s_b.htm#1336","bear fruit"
"*maRe-anak","acd-s_a1.htm#199","parent and child"
"*maR-ina","acd-s_i1.htm#2898","to be mother and child"
"*maR-kaban","acd-s_k.htm#9701","to be friends with, to be a companion of"
"*maR-luheq","acd-s_l.htm#7670","to shed tears, weep"
"*maR-qani","acd-s_q.htm#4227","harvest; to harvest"
"*ma-Ruqanay","acd-s_r2.htm#4939","male"
"*ma-saki-sakit","acd-s_s1.htm#8343","to fall ill, become very sick"
"*ma-sakit","acd-s_s1.htm#8340","sick, painful"
"*ma-saŋa","acd-s_s1.htm#8806","split, forked, as a branch or path"
"*maS","acd-s_m.htm#3572","and"
"*ma-SateD","acd-s_s2.htm#5079","escort, accompany"
"*mata","acd-s_m.htm#8602","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover"
"*mata nu bisul","acd-s_m.htm#8616","core of a boil"
"*mata nu haŋin","acd-s_m.htm#8617","point of the compass, direction of the wind"
"*mata nu hikan","acd-s_m.htm#8619","callus on the foot (lit. ‘fish eye’)"
"*mata nu kahiw","acd-s_m.htm#8621","knot in wood"
"*mata nu panaq","acd-s_m.htm#8623","point of an arrow"
"*mata nu qalejaw","acd-s_m.htm#8628","sun (‘eye of the day’)"
"*mata nu qatay","acd-s_m.htm#11950","mental perception"
"*mata nu susu","acd-s_m.htm#8629","nipple of the breast"
"*mata nu wahiR","acd-s_m.htm#8630","spring of water, source of a river"
"*mata nu zalan","acd-s_m.htm#8632","middle of the road, most trodden part of a path or road; guide who shows the way"
"*ma-takaw","acd-s_c2.htm#1941","stolen"
"*ma-takut","acd-s_t.htm#7427","fearful, afraid"
"*mantalaq","acd-s_m.htm#3570","the morning (evening) star: Venus"
"*mata-mata","acd-s_m.htm#8635","spy, scout, one who looks for possible danger ahead"
"*ma-taŋis","acd-s_c2.htm#2042","tearful, crying easily"
"*ma-taqu₁","acd-s_c2.htm#7842","to be capable, able, knowledgeable"
"*ma-taqu₂","acd-s_t.htm#7846","right side"
"*ma-tasak","acd-s_t.htm#10486","ripe, cooked"
"*ma-tawa","acd-s_c2.htm#2029","to laugh"
"*m-atay","acd-s_a1.htm#38","die; dead; sick; tired (of); faint, lose consciousness; eclipse; new moon; extinguished; blocked (path); paralyzed; numb, asleep (limbs); die down (wind); waterless (springs, rivers); dry up (plants); beaten (in a game); fixed (price); terminate a matter, reach an agreement; disaster; intensive, superlative; desire intensely, be deeply in love"
"*m-atay m-atay","acd-s_a1.htm#68","die in throngs; be on the verge of death"
"*m-atay-an","acd-s_a1.htm#42","lose someone through death"
"*-matek","acd-s_m.htm#6861","jungle leech,  spp."
"*ma-telu","acd-s_t.htm#8424","(gloss uncertain)"
"*ma-teRas","acd-s_t.htm#8707","hard, solid"
"*ma-tiduR","acd-s_t.htm#8355","sleeping; to sleep"
"*ma-tuduq","acd-s_t.htm#8187","leaking, dripping (as a leaky roof)"
"*ma-tuduR","acd-s_t.htm#8361","sleeping; to sleep"
"*ma-tunuh","acd-s_c2.htm#2134","roasted"
"*ma-tuqah","acd-s_t.htm#8508","old, of people; very, extremely; to die, dead (euphemism)"
"*ma-tuqaS tuqaS","acd-s_t.htm#8514","old, elder, senior"
"*ma-udehi","acd-s_u1.htm#5730","behind, last"
"*ma-ulaw","acd-s_u1.htm#5765","dazed, confused"
"*ma-wanan","acd-s_w.htm#11794","right side"
"*maymay","acd-s_m.htm#12548","premasticated food for infants"
"*ma-zaqat","acd-s_z.htm#7601","bad, evil"
"*ma-zauq","acd-s_z.htm#8105","far"
"*-medaw","acd-s_m.htm#11715","dizzy, giddy"
"*mekmek","acd-s_m.htm#3582","broken to bits"
"*meñak","acd-s_m.htm#6846","fat, grease; ointment"
"*mepis","acd-s_m.htm#3583","thin"
"*mesmes","acd-s_m.htm#3584","grasp, grip, squeeze"
"*me(n)tik","acd-s_m.htm#3585","ant sp. with venomous bite"
"*metmet","acd-s_m.htm#12729","to hold tightly"
"*mimi","acd-s_m.htm#11843","to urinate; urine"
"*mimis₁","acd-s_m.htm#11844","new shoots of cogon grass ()"
"*m<in>aCay","acd-s_a1.htm#64","burial ground (?)"
"*minaŋa","acd-s_m.htm#3586","mouth of a river, estuary"
"*m<in>ata","acd-s_m.htm#8607","open-eyed (?)"
"*miñak","acd-s_m.htm#6849","fat, grease; ointment"
"*mipis","acd-s_m.htm#8863","thin, of materials"
"*miqmiq","acd-s_m.htm#3587","urine, urinate"
"*misik","acd-s_m.htm#3588","sucking noise made as a signal to another person"
"*mismis₂","acd-s_m.htm#11846","to suck up, suck out"
"*mu-","acd-s_m.htm#8789","movement prefix"
"*-mu","acd-s_m.htm#11876","2sg. possessor and agent of passive verb"
"*muda","acd-s_m.htm#7657","young (of fruits); immature; light (of colors)"
"*mudaq","acd-s_m.htm#12796","young (of fruits); immature"
"*mujiŋ","acd-s_m.htm#7282","face (human)"
"*mujiŋ-an","acd-s_m.htm#7283","(gloss uncertain)"
"*muken","acd-s_m.htm#3629","omen dove"
"*mula","acd-s_m.htm#3630","to plant"
"*mulmul","acd-s_m.htm#3631","hold in the mouth and suck"
"*muquŋ","acd-s_m.htm#3634","fish sp."
"*muRmuR","acd-s_m.htm#3635","gargle, rinse the mouth"
"*musaŋ","acd-s_m.htm#9052","civet cat and similar small predatory mammals of the family"
"*muntay","acd-s_m.htm#3633","kind of citrus tree and its fruit"
"*mutu₁","acd-s_m.htm#3637","damsel fish"
"*-na","acd-s_n1.htm#3655","distal spatio-temporal deixis: that, there; then"
"*na₁","acd-s_n1.htm#3653","common noun article"
"*na₂","acd-s_n1.htm#3654","linker marking emphatic attribution"
"*na₃","acd-s_n1.htm#8693","genitive of plural personal names"
"*na₄","acd-s_n2.htm#11942","already"
"*na₅","acd-s_n2.htm#8755","conjunction: and"
"*nabek","acd-s_n2.htm#11943","breakers, surf, waves"
"*nabuq","acd-s_n1.htm#3640","to fall"
"*najam","acd-s_n1.htm#3641","accustomed to, familiar with; tame"
"*nakaw","acd-s_n1.htm#3643","steal"
"*namaw","acd-s_n1.htm#3645","sheltered water: deep place in a river; cove, harbor, lagoon"
"*n-ami","acd-s_a1.htm#9707","1pl. excl. genitive, our"
"*namut","acd-s_n1.htm#11109","an evergreen tree with decorative flowers:  L."
"*namut-namut","acd-s_n1.htm#6886","a tree:  spp."
"*nanaq","acd-s_n1.htm#7222","pus"
"*na-nu","acd-s_n1.htm#3703","what(?)"
"*naŋa₁","acd-s_n1.htm#3658","estuary, mouth of a river"
"*naŋa₂","acd-s_n1.htm#3659","kind of thick rattan"
"*naŋuy","acd-s_n2.htm#8381","to swim"
"*nara","acd-s_n1.htm#3649","a tree:"
"*naRa","acd-s_n1.htm#72","to wait"
"*naRah","acd-s_n1.htm#3648","a tree:"
"*nasu","acd-s_n2.htm#8111","cook by boiling"
"*nasuk","acd-s_n1.htm#3650","cook by boiling"
"*natad","acd-s_n2.htm#7287","cleared area around house, cleared ground in village"
"*nateŋ","acd-s_n2.htm#7285","vegetables"
"*nati","acd-s_n1.htm#3651","young of animals"
"*natuq","acd-s_n1.htm#7825","ovary of an an oviparous animal"
"*neknek","acd-s_n1.htm#3661","gnat, sandfly, fruit fly"
"*nemnem","acd-s_n1.htm#3662","think"
"*nepuq","acd-s_n1.htm#6514","stonefish"
"*-ni","acd-s_n1.htm#3677","proximal spatio-temporal deixis: this, here; now"
"*ni","acd-s_n1.htm#8781","genitive case marker for singular personal names and pronouns; marker of possession, part-to-whole relationships, and agency of a non-actor voice verb"
"*ni aku","acd-s_a1.htm#94","1sg. agent"
"*ni-a","acd-s_a1.htm#385","3sg. agent/possessor"
"*nihawa","acd-s_n2.htm#7968","breath; life force, breath soul; to breathe; breathe easily, feel comfort, be at ease, have ‘breathing room’; to rest, take a break"
"*ni-ia","acd-s_i1.htm#12619","3sg. genitive, his, her"
"*niket","acd-s_n1.htm#3667","sticky, adhesive"
"*ni-ku","acd-s_k.htm#8770","1sg genitive (marker of non-subject agency and possession; my; by me)"
"*nilaw","acd-s_n1.htm#3669","bright light"
"*nilu","acd-s_n1.htm#8149","intense sensation in teeth when eating sour fruit; for teeth to be on edge"
"*nimas","acd-s_n1.htm#8539","bailer in a canoe"
"*ninih","acd-s_n1.htm#3670","shake, tremble, rock"
"*niniq₁","acd-s_n1.htm#3671","plant sp.: , used as material for making baskets"
"*niniq₂","acd-s_n1.htm#11955","sandfly"
"*niŋal","acd-s_n1.htm#3684","echo"
"*niŋniŋ","acd-s_n1.htm#3685","clear, of water"
"*nipaq","acd-s_n1.htm#8398","a swamp palm:"
"*nipay","acd-s_n1.htm#3672","snake"
"*nipen","acd-s_n1.htm#7136","tooth"
"*nipis","acd-s_n2.htm#8672","thinness (of materials)"
"*niRu","acd-s_r2.htm#7302","winnowing basket"
"*n-ita","acd-s_i1.htm#7698","1st pers. incl. genitive; our"
"*nituq","acd-s_n1.htm#3686","a fern:  spp."
"*niuR","acd-s_n1.htm#7013","coconut"
"*niwaŋ","acd-s_n2.htm#3676","thinness, of people and animals"
"*nu-","acd-s_n1.htm#11638","future marker with words for days"
"*-nu₁","acd-s_n1.htm#3687","marker of uncertainty"
"*nu₁","acd-s_n1.htm#3715","if, when (in future)"
"*-nu₂","acd-s_n1.htm#8790","2sg possessor and non-subject agent"
"*nu₃","acd-s_n1.htm#8802","genitive case marker for common nouns (cf. *na, *ni)"
"*nues","acd-s_n1.htm#7053","squid"
"*nuka","acd-s_n2.htm#6435","wound"
"*nunuh","acd-s_n1.htm#7789","female breast"
"*nunuk","acd-s_n1.htm#3711","a tree: the banyan or strangler fig"
"*nuRuq","acd-s_n1.htm#3712","luck"
"*nus","acd-s_n1.htm#3714","squid, cuttlefish"
"*nusa₁","acd-s_n1.htm#7054","island"
"*Nali","acd-s_n2.htm#3644","cicada"
"*Neŋ","acd-s_n2.htm#3666","look, see"
"*NeŋNeŋ","acd-s_n2.htm#3664","stare, look fixedly"
"*Niteq","acd-s_n2.htm#3674","sap of a tree or plant"
"*ñaman","acd-s_n3.htm#6043","tasty, delicious"
"*ñamit","acd-s_n3.htm#6883","taste"
"*ñamñam","acd-s_n3.htm#6044","tasty, delicious (?)"
"*ñamuk","acd-s_n3.htm#6887","mosquito"
"*ñamuR","acd-s_n3.htm#6885","dew"
"*ñañuk","acd-s_n3.htm#12518","speak indistinctly, mumble"
"*ña(ŋ)ket","acd-s_n3.htm#6051","sticky, adhesive"
"*ñaRa","acd-s_n3.htm#10102","brother (woman speaking)"
"*ñatuq","acd-s_n3.htm#7972","hardwood tree with edible fruit and valuable timber:  spp."
"*ñawñaw","acd-s_n3.htm#6049","rinse, wash"
"*ñepñep","acd-s_n3.htm#6057","drink, slurp, suck"
"*ñepuq","acd-s_n3.htm#11093","stonefish"
"*ñeRab","acd-s_n3.htm#6058","yesterday"
"*ñikñik","acd-s_n3.htm#3668","tiny biting insect: gnat, sandfly"
"*ñilu","acd-s_n3.htm#7502","painful sensation in teeth, as from eating something sour"
"*ŋa","acd-s_n4.htm#8563","linker for multiples of ten"
"*ŋabŋab","acd-s_n4.htm#6040","bite off the surface of something"
"*ŋadas","acd-s_n4.htm#8544","palate"
"*ŋa-ijan","acd-s_i1.htm#2829","when?"
"*ŋajan","acd-s_n4.htm#7494","name"
"*ŋajay","acd-s_n4.htm#10991","saliva, drivel"
"*ŋak","acd-s_n4.htm#6041","raucous sound"
"*ŋakŋak","acd-s_n4.htm#6042","raucous sound"
"*ŋalŋal","acd-s_n4.htm#8764","to chew, masticate"
"*ŋaŋ","acd-s_n4.htm#6050","inarticulate sound"
"*ŋaŋa₂","acd-s_n4.htm#7985","open the mouth wide, gape; gaping; opening of a  fish trap, basket, etc."
"*ŋa(ŋ)ŋaŋ","acd-s_n4.htm#6052","inarticulate sound"
"*ŋarŋar","acd-s_n4.htm#6047","fragment, split-off piece"
"*ŋaRaq","acd-s_n4.htm#6045","wild duck"
"*ŋasŋas","acd-s_n4.htm#6048","crush with the teeth"
"*ŋawŋaw","acd-s_n4.htm#8594","sound produced by an animal; unintelligible muttering of a person"
"*ŋeCŋeC","acd-s_n4.htm#8147","gnash the teeth"
"*ŋek","acd-s_n4.htm#6054","grunt"
"*ŋekŋek","acd-s_n4.htm#6055","mumble, etc."
"*ŋeni","acd-s_n4.htm#6056","beg, ask for"
"*ŋeŋ","acd-s_n4.htm#6059","buzz, hum"
"*ŋeŋeŋ","acd-s_n4.htm#6060","buzz, hum"
"*ŋepŋep","acd-s_n4.htm#12519","to gasp, have difficulty breathing"
"*ŋerŋer","acd-s_n4.htm#8546","growl"
"*ŋesŋes","acd-s_n4.htm#8555","to pant, be out of breath"
"*ŋetŋet","acd-s_n4.htm#8556","gnaw, nibble"
"*ŋidaw","acd-s_n4.htm#8564","toothless"
"*ŋijuŋ","acd-s_n4.htm#6065","nose"
"*ŋik","acd-s_n4.htm#6066","squeal, screech, shriek, etc."
"*ŋikŋik","acd-s_n4.htm#6067","squeal, screech, shriek, etc."
"*ŋilu","acd-s_n4.htm#7503","painful sensation in teeth, as from eating something sour"
"*ŋiŋ","acd-s_n4.htm#6072","buzz, hum"
"*ŋi(ŋ)ŋiŋ","acd-s_n4.htm#6073","buzz, hum"
"*ŋipen","acd-s_n4.htm#7138","tooth"
"*ŋisi","acd-s_n4.htm#7107","to grin, show the teeth"
"*ŋisŋis₁","acd-s_n4.htm#6069","grin, show the teeth"
"*ŋitŋit₁","acd-s_n4.htm#6070","gnaw"
"*ŋitŋit₂","acd-s_n4.htm#8596","annoyance, irritation"
"*ŋuda","acd-s_n4.htm#6091","young, of plants"
"*ŋuhuR","acd-s_n4.htm#7162","nasal mucus"
"*ŋuk","acd-s_n4.htm#6092","grunt, moan, etc."
"*ŋukŋuk","acd-s_n4.htm#6093","grunt, moan, etc."
"*ŋulŋul₁","acd-s_n4.htm#6094","arthritic or rheumatic pain"
"*ŋuŋ","acd-s_n4.htm#6100","buzz, hum"
"*ŋu(ŋ)ŋuŋ","acd-s_n4.htm#6101","buzz, hum"
"*ŋurut","acd-s_n4.htm#6095","growl, whine"
"*ŋusŋus","acd-s_n4.htm#8598","to snore, growl, grunt"
"*ŋusuq","acd-s_n4.htm#7553","nasal area; snout"
"*ŋutŋut₂","acd-s_n4.htm#7035","throbbing pain"
"*ŋutŋut₄","acd-s_n4.htm#10974","to gnaw"
"*pa-₁","acd-s_p.htm#3888","numeral prefix, divide into x (x = numeral)"
"*pa₁","acd-s_p.htm#8812","still, yet, til now, first (before doing something else)"
"*pa-₂","acd-s_p.htm#9461","causative prefix"
"*pa-aluja","acd-s_a1.htm#127","to paddle"
"*pa-añud","acd-s_q.htm#4416","set adrift"
"*pa-ampu","acd-s_a1.htm#278","grandparent, possibly vocative"
"*pa-beli","acd-s_b.htm#914","sell, give in exchange"
"*pa-beRay","acd-s_b.htm#961","to give"
"*pa-bunuq","acd-s_b.htm#1695","killer, one who kills"
"*pacek","acd-s_p.htm#3733","wooden nail, dowel; drive in, as a wooden nail or dowel"
"*paCak","acd-s_p.htm#3732","spotted, speckled, as the skin of an animal"
"*p-aCay-en","acd-s_a1.htm#59","be killed"
"*pandak","acd-s_p.htm#9306","short in height, squat and compact in build, of a person"
"*pa-danum","acd-s_d.htm#7461","to irrigate"
"*pa-deket","acd-s_d.htm#8092","to stick or paste on"
"*padeŋ","acd-s_p.htm#10860","to extinguish, douse a fire"
"*paen","acd-s_p.htm#8565","bait"
"*pa-enem","acd-s_e1.htm#2367","divide into six (?)"
"*pagal","acd-s_p.htm#3736","neck shackle to prevent an animal from passing through fences"
"*pager","acd-s_p.htm#3739","enclosure; palisade around a village; fence around a planted tree or cultivated field"
"*pa-hapuy-an","acd-s_s2.htm#5044","firewood, what is used to make a fire"
"*paheku","acd-s_p.htm#6706","bracken, edible fern that grows by rivers: Athyrium esculentum"
"*pa-hinzam","acd-s_h.htm#2691","lend"
"*pahuq₁","acd-s_p.htm#11007","mango tree and its fruit, probably"
"*pai₁","acd-s_p.htm#3744","where?"
"*paid","acd-s_p.htm#7140","fan"
"*pa-inum","acd-s_i1.htm#2922","give someone something to drink"
"*pa-isi","acd-s_i1.htm#2991","contents"
"*pajay","acd-s_p.htm#7675","rice in the field; rice plant"
"*pak","acd-s_p.htm#10869","sound of a clap or smack"
"*pa-ka-","acd-s_p.htm#9463","causative of stative verbs"
"*pa(ka)-ajan","acd-s_a1.htm#85","to name, give a name to"
"*pa(ka)-amax","acd-s_a1.htm#142","treat like a father"
"*pa-kaCu","acd-s_k.htm#6607","to send"
"*paka-duha","acd-s_d.htm#7894","twice, do something twice"
"*pa-kaen","acd-s_k.htm#8015","to feed"
"*paka-enem","acd-s_e1.htm#2368","six times"
"*pa-kaen-en","acd-s_k.htm#8016","to feed, be fed"
"*paka-epat","acd-s_s2.htm#5173","four times"
"*pa(ka)-haŋin","acd-s_h.htm#2619","expose to the wind"
"*pa(ka)-haŋin-haŋin","acd-s_h.htm#2621","go out for some fresh air"
"*paka-lima₁","acd-s_l.htm#7395","five times"
"*pa(ka)-m-atay","acd-s_a1.htm#46","kill; commit suicide (?)"
"*pakan","acd-s_p.htm#11055","the weft thread in weaving"
"*paka-pija","acd-s_p.htm#8054","(gloss uncertain)"
"*paka-pitu","acd-s_p.htm#8317","seven times"
"*pa(ka)-qasu","acd-s_q.htm#4337","to smoke, fumigate"
"*paka-qudip","acd-s_q.htm#4642","save, spare the life of"
"*paka-Rabiqi","acd-s_r2.htm#7374","(gloss uncertain)"
"*pa(ka)-salaq","acd-s_s1.htm#8199","to blame, accuse of error or fault; to punish"
"*paka-takut","acd-s_t.htm#7431","to frighten, cause to fear"
"*paka-taŋis","acd-s_c2.htm#7771","to make someone cry; to let someone cry"
"*paka-telu","acd-s_t.htm#8430","to triple, multiply by three"
"*paka-uliq","acd-s_u1.htm#5777","return something to someone"
"*paka-walu","acd-s_w.htm#5949","eight times"
"*pa-kilala","acd-s_k.htm#8775","(gloss uncertain)"
"*pa-kita","acd-s_k.htm#8531","to show"
"*pakpak₁","acd-s_p.htm#7507","to clap, flap the wings; sound of clapping or flapping"
"*pakul","acd-s_p.htm#12608","a fish: triggerfish sp.(?)"
"*pakut","acd-s_p.htm#12521","to bind together"
"*pa-lahud","acd-s_l.htm#11322","go downriver, go seaward"
"*palaj₁","acd-s_p.htm#3751","palm of hand, sole of foot"
"*palak","acd-s_p.htm#3754","shout in anger"
"*palaŋ₁","acd-s_p.htm#3765","thwart, crosspiece"
"*palaqpaq","acd-s_p.htm#3758","midrib of coconut leaf"
"*pa-laRiw","acd-s_l.htm#3363","run away, flee; flight, escape; fugitive"
"*palata","acd-s_p.htm#3762","fish sp."
"*paleCuk","acd-s_p.htm#3767","shoot, sound of shooting"
"*pa-likaw","acd-s_l.htm#7532","(gloss uncertain)"
"*pa-likud","acd-s_l.htm#7536","(gloss uncertain)"
"*pa-lima","acd-s_l.htm#7394","divide into five (?)"
"*paliŋ","acd-s_p.htm#3781","turn (as the prow of a boat)"
"*paliq₁","acd-s_p.htm#3772","an internal organ, probably spleen or pancreas"
"*paliSi","acd-s_p.htm#3774","taboo, ritual restriction; purifying rite"
"*paliSi-en","acd-s_p.htm#3775","be tabooed (?)"
"*pa-litlit","acd-s_l.htm#11462","to make something wind around something else"
"*palu","acd-s_p.htm#7423","to hammer, to hit with a hard implement"
"*palu₁","acd-s_p.htm#3785","sago flour"
"*palu-palu","acd-s_p.htm#7424","hammer, mallet, instrument for pounding or hammering"
"*panahik","acd-s_p.htm#3791","climb"
"*pa-nakaw","acd-s_c2.htm#1944","steal"
"*panaq","acd-s_p.htm#6474","throw something at a target; shoot with bow and arrow"
"*panas₁","acd-s_p.htm#3794","warm, hot"
"*panas₂","acd-s_p.htm#3799","type of ginger"
"*panas-i","acd-s_p.htm#11259","to heat up, warm up"
"*panaw₁","acd-s_p.htm#3800","fungus infection which produces light patches on the skin:  or"
"*panaw₂","acd-s_p.htm#7929","go, walk away, depart"
"*panay","acd-s_p.htm#3804","dish, bowl (of clay or wood)"
"*panid","acd-s_p.htm#8899","wing"
"*paniki","acd-s_p.htm#3809","fruit bat, flying fox:  spp."
"*pa(n)tar₂","acd-s_p.htm#3908","shelf; bed frame of wooden or bamboo laths"
"*pa(n)tuk₂","acd-s_p.htm#3911","to knock, strike against"
"*paNij","acd-s_p.htm#3807","wing"
"*pañaRu","acd-s_p.htm#3892","give birth"
"*paŋ","acd-s_p.htm#3918","bang!  loud popping sound"
"*paŋa₁","acd-s_p.htm#3894","fork of a branch; any forked structure; bifurcation"
"*paŋan","acd-s_p.htm#11176","food; to feed"
"*paŋaq","acd-s_p.htm#3895","forked, pronged"
"*paŋedan","acd-s_p.htm#3916","pandanus"
"*paŋ-inum","acd-s_i1.htm#2924","(gloss uncertain)"
