"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*nimas","acd-s_n1.htm#8539","bailer in a canoe"
"*nipen","acd-s_n1.htm#7136","tooth"
"*n-ita","acd-s_i1.htm#7698","1st pers. incl. genitive; our"
"*nu-","acd-s_n1.htm#11638","future marker with words for days"
"*-nu₁","acd-s_n1.htm#3687","marker of uncertainty"
"*nu₁","acd-s_n1.htm#3715","if, when (in future)"
"*-nu₂","acd-s_n1.htm#8790","2sg possessor and non-subject agent"
"*nu₃","acd-s_n1.htm#8802","genitive case marker for common nouns (cf. *na, *ni)"
"*nuka","acd-s_n1.htm#12666","to make hemp yarn"
"*numa","acd-s_n1.htm#12730","how?"
"*nunuh","acd-s_n1.htm#7789","female breast"
"*Na₁","acd-s_n2.htm#3652","conjunction: and"
"*Na₂","acd-s_n2.htm#8754","already"
"*Nabek","acd-s_n2.htm#3639","breakers, surf, waves"
"*NaCeŋ","acd-s_n2.htm#7284","vegetables"
"*Nali","acd-s_n2.htm#3644","cicada"
"*Namat","acd-f_n2.htm#7307","iron (metal)"
"*Naŋuy","acd-s_n2.htm#8380","to swim"
"*Naqeji","acd-f_n2.htm#7230","boundary between adjacent rice fields"
"*Nasu","acd-s_n2.htm#8110","cook by boiling"
"*NataD","acd-s_n2.htm#7286","outside"
"*Nayad","acd-s_n2.htm#12731","a plant:"
"*Neŋ","acd-s_n2.htm#3666","look, see"
"*NeŋNeŋ","acd-s_n2.htm#3664","stare, look fixedly"
"*Nibu","acd-f_n2.htm#6588","lair, den of an animal"
"*Nihib","acd-f_n2.htm#7123","rock shelter, cave under a rock"
"*Nipis","acd-s_n2.htm#8860","thinness (of materials)"
"*NiSawa","acd-s_n2.htm#7967","breath; to breathe"
"*Nitaq","acd-s_n2.htm#12782","type of soil, clay"
"*Niteq","acd-s_n2.htm#3674","sap of a tree or plant"
"*Niwaŋ","acd-s_n2.htm#7050","thinness, slenderness"
"*Nuka","acd-s_n2.htm#3707","wound"
"*N<um>aŋuy","acd-s_n2.htm#8382","to swim"
"*NuqeS","acd-f_n2.htm#7124","bone marrow"
"*Nusuŋ","acd-s_n2.htm#3539","rice mortar"
"*Nutud","acd-f_n2.htm#7188","join two things to give added length (rope, bamboo, etc.)"
"*ñamñam","acd-s_n3.htm#6044","tasty, delicious (?)"
"*ñamuR","acd-s_n3.htm#6885","dew"
"*ñawñaw","acd-s_n3.htm#6049","rinse, wash"
"*ŋabŋab","acd-s_n4.htm#6040","bite off the surface of something"
"*ŋajan","acd-s_n4.htm#7493","name"
"*ŋajay","acd-s_n4.htm#10991","saliva, drivel"
"*ŋalŋal","acd-s_n4.htm#8764","to chew, masticate"
"*ŋaŋa₂","acd-s_n4.htm#7984","open the mouth"
"*ŋawŋaw","acd-s_n4.htm#8594","sound produced by an animal; unintelligible muttering of a person"
"*ŋayaw","acd-s_n4.htm#6526","headhunting"
"*ŋeCŋeC","acd-s_n4.htm#8147","gnash the teeth"
"*ŋerŋer","acd-s_n4.htm#8546","growl"
"*ŋesŋes","acd-s_n4.htm#8555","to pant, be out of breath"
"*ŋetŋet","acd-s_n4.htm#8556","gnaw, nibble"
"*ŋiCŋiC","acd-s_n4.htm#8595","show annoyance or irritation"
"*ŋidaw","acd-s_n4.htm#8564","toothless"
"*ŋilu","acd-s_n4.htm#7503","painful sensation in teeth, as from eating something sour"
"*ŋipen","acd-s_n4.htm#7138","tooth"
"*ŋiSŋiS","acd-f_n4.htm#6683","beard"
"*ŋitŋit₁","acd-s_n4.htm#6070","gnaw"
"*ŋusŋus","acd-s_n4.htm#8598","to snore, growl, grunt"
"*ŋusuq","acd-s_n4.htm#7553","nasal area; snout"
"*ŋuSuN","acd-f_n4.htm#6589","nosebleed"
"*ŋuSuR","acd-s_n4.htm#6674","nasal mucus"
"*pa₁","acd-s_p.htm#8812","still, yet, til now, first (before doing something else)"
"*pa-₂","acd-s_p.htm#9461","causative prefix"
"*pa-aCay","acd-s_a1.htm#55","kill"
"*pa-aluja","acd-s_a1.htm#127","to paddle"
"*pa-añud","acd-s_q.htm#4416","set adrift"
"*pa-bajaq","acd-s_b.htm#6443","give knowledge, teach"
"*pa-beRay","acd-s_b.htm#961","to give"
"*pacek","acd-s_p.htm#3733","wooden nail, dowel; drive in, as a wooden nail or dowel"
"*paCak","acd-s_p.htm#3732","spotted, speckled, as the skin of an animal"
"*pa-Caŋis","acd-s_c2.htm#2044","to make someone cry; to let someone cry"
"*p-aCay-en","acd-s_a1.htm#59","be killed"
"*pa-daNum","acd-s_d.htm#7460","to irrigate"
"*pa-dekeC","acd-s_d.htm#8091","to stick or paste on"
"*padeŋ","acd-s_p.htm#10860","to extinguish, douse a fire"
"*paen","acd-s_p.htm#8565","bait"
"*paheku","acd-s_p.htm#6706","bracken, edible fern that grows by rivers: Athyrium esculentum"
"*pa-hinzam","acd-s_h.htm#2691","lend"
"*pahpah","acd-s_p.htm#12802","flower (?)"
"*paid","acd-s_p.htm#7140","fan"
"*pajay","acd-s_p.htm#7675","rice in the field; rice plant"
"*pajiS","acd-f_p.htm#6625","enemy"
"*pa-ka-","acd-s_p.htm#9463","causative of stative verbs"
"*pa-kaCu","acd-s_k.htm#6607","to send"
"*paka-duSa","acd-s_d.htm#7893","twice, do something twice"
"*pa-kaen","acd-s_k.htm#8015","to feed"
"*pa-kaen-en","acd-s_k.htm#8016","to feed, be fed"
"*pa-ka-keseR","acd-s_k.htm#11021","(gloss uncertain)"
"*pa-kita","acd-s_k.htm#8531","to show"
"*pakpak₁","acd-s_p.htm#7507","to clap, flap the wings; sound of clapping or flapping"
"*paleCuk","acd-s_p.htm#3767","shoot, sound of shooting"
"*pa-likaw","acd-s_l.htm#7532","(gloss uncertain)"
"*pa-likud","acd-s_l.htm#7536","(gloss uncertain)"
"*paliq₁","acd-s_p.htm#3772","an internal organ, probably spleen or pancreas"
"*paliSi","acd-s_p.htm#3774","taboo, ritual restriction; purifying rite"
"*paliSi-an","acd-s_p.htm#12715","taboo"
"*paliSi-en","acd-s_p.htm#3775","be tabooed (?)"
"*pa-litlit","acd-s_l.htm#11462","to make something wind around something else"
"*palu₃","acd-s_p.htm#7422","to hammer, pound, hit"
"*palu-palu","acd-s_p.htm#7424","hammer, mallet, instrument for pounding or hammering"
"*panaq","acd-s_p.htm#6474","throw something at a target; shoot with bow and arrow"
"*pa(n)tuk₂","acd-s_p.htm#3911","to knock, strike against"
"*paNaw","acd-s_p.htm#3802","go, walk away, depart"
"*paNid","acd-s_p.htm#8898","wing"
"*paNij","acd-s_p.htm#3807","wing"
"*paNiŋ","acd-f_p.htm#7822","door"
"*paŋa₁","acd-s_p.htm#3894","fork of a branch; any forked structure; bifurcation"
"*paŋaq","acd-s_p.htm#3895","forked, pronged"
"*paŋudaN","acd-s_p.htm#3915","pandanus"
"*pa-p-aCay","acd-s_a1.htm#60","kill"
"*pa-pespes","acd-s_p.htm#10889","to massage"
"*pa-pija","acd-s_p.htm#8053","how many? (of people)"
"*pa-pitu","acd-s_p.htm#8316","seven (of humans)"
"*paqa₁","acd-s_p.htm#7509","thigh"
"*paqeju","acd-f_p.htm#11338","gall, gall bladder"
"*pa-qetut","acd-s_q.htm#4502","to fart, break wind"
"*paqiC","acd-s_p.htm#6871","hotness of taste, spiciness; bitterness"
"*paqpaq₁","acd-s_p.htm#3829","chew"
"*pa-qudip","acd-s_q.htm#4641","care for, raise (an animal)"
"*pa-qumah-an","acd-s_q.htm#4691","(gloss uncertain)"
"*pa-quzaN","acd-s_q.htm#4787","(gloss uncertain)"
"*pariuk","acd-s_p.htm#3864","earthenware cooking pot"
"*paR-₂","acd-s_p.htm#3874","divide into x (x = numeral)"
"*paRa₁","acd-s_p.htm#3845","storage shelf; attic, loft"
"*paRaw","acd-s_p.htm#3841","hoarse"
"*paR-enem-en","acd-s_e1.htm#2370","do six times"
"*paR-isa-an","acd-s_i1.htm#2971","to unite, combine in one"
"*paRiS","acd-s_p.htm#3859","stingray"
"*paR-Sepat-en","acd-s_s2.htm#5177","do four times"
"*paR-walu-en","acd-s_w.htm#5950","do eight times"
"*pasaqaN","acd-s_p.htm#3875","shoulder pole; carry with a shoulder pole"
"*pasek","acd-s_p.htm#8184","wooden nail, dowel; drive in, as a wooden nail, dowel, or fencepost"
"*paspas₁","acd-s_p.htm#3877","beat out, thresh"
"*pasu₁","acd-s_p.htm#3878","cheek bone"
"*pasuk","acd-s_p.htm#11213","enter"
"*pa-susu","acd-s_s1.htm#7629","give the breast to, nurse a child"
"*pa-susu-en","acd-s_s1.htm#7630","to nurse, give a child the breast (to be sucked)"
"*pa-SateD","acd-s_s2.htm#5081","send (?)"
"*pa-Sezam","acd-s_s2.htm#5224","lend"
"*pat-a","acd-s_s2.htm#5186","four (in counting certain referents)"
"*pataS","acd-f_p.htm#6590","tattoo"
"*pataS-an","acd-f_p.htm#11006","an instrument for tattooing"
"*pa-tumaNa","acd-f_t.htm#7924","to make someone listen"
"*pa-tuzuq","acd-s_t.htm#8827","to point out, give directions (?)"
"*pa-uSa","acd-f_u1.htm#6656","to send away"
"*pa-utaq","acd-s_u1.htm#5869","cause to vomit"
"*peceq₁","acd-s_p.htm#7615","break into several large pieces"
"*peCik","acd-s_p.htm#3919","snap, as the fingers or a slingshot"
"*pedek","acd-s_p.htm#3920","wink, blink"
"*pedel","acd-f_p.htm#7257","to wring out, as water from wet clothes"
"*pedped₁","acd-s_p.htm#3922","press together, pack solid"
"*pekpek₁","acd-s_p.htm#3929","beat, hit"
"*pelus","acd-s_p.htm#3934","slip off"
"*peNuq","acd-s_p.htm#6986","full, of a container"
"*peñu","acd-s_p.htm#7000","sea turtle"
"*perus","acd-s_p.htm#3938","slip or slide off"
"*peReq","acd-s_p.htm#7511","squeeze out juice, wring out water"
"*peRes","acd-s_p.htm#7513","squeeze out juice, extract liquid by squeezing"
"*pespes","acd-s_p.htm#3941","squeeze, massage"
"*pespes-i","acd-s_p.htm#10891","massage (imperative)"
"*peSiq","acd-f_p.htm#6626","squeeze out juice; squirt out"
"*pi-","acd-f_p.htm#10554","causative of location"
"*piad","acd-f_p.htm#7147","dish, plate"
"*piak","acd-s_p.htm#10827","baby chick; peeping of chick"
"*pija pija","acd-s_p.htm#8056","some, several"
"*pijax","acd-s_p.htm#8047","interrogative of quantity: how much?, how many?; adjective of indefinite quantity: some, several, a few"
"*pijpij","acd-s_p.htm#7414","close together"
"*pikpik","acd-s_p.htm#3969","sound of patting or tapping"
"*piku","acd-s_p.htm#11916","bend, curve"
"*pikuq₁","acd-s_p.htm#7172","to bend, curve; bent, curved"
"*piliq","acd-s_p.htm#8112","to choose, to select; to pick out"
"*piliq-i","acd-s_p.htm#8129","choose it!"
"*piluk₁","acd-s_p.htm#7250","crippled; bent or twisted, of the leg or foot"
"*p<in>a-kaen","acd-s_k.htm#8020","was fed by someone"
"*p<in>anaq","acd-s_p.htm#6476","shoot with a bow"
"*pin-duSa","acd-s_d.htm#7897","(gloss uncertain)"
"*p<in>espes","acd-s_p.htm#10890","was massaged by someone"
"*piNay","acd-s_p.htm#10862","lame, crippled"
"*piŋi","acd-s_p.htm#4001","cheek"
"*pipi₂","acd-s_p.htm#8131","female genitalia (child’s word?)"
"*pi-pitu","acd-s_p.htm#8318","seven each"
"*piRaS","acd-s_p.htm#7518","roe, eggs of fish or crustacean"
"*piRaS-an","acd-s_p.htm#7521","be laden with roe, of a fish or crustacean"
"*pisel","acd-s_p.htm#11012","pinch, squeeze; knead"
"*pispis₁","acd-s_p.htm#10913","hair on the temples"
"*piSpiS","acd-s_p.htm#7516","cheeks, temples"
"*pitpit₂","acd-s_p.htm#9053","pinch, squeeze, press between two surfaces; pluck, pick off"
"*pitpit₃","acd-s_p.htm#10917","to beat, whip"
"*pitpit-en","acd-s_p.htm#9054","be pinched, squeezed, or pressed"
"*pitu pitu","acd-s_p.htm#8327","seven by seven, seven at a time"
"*pitu₁","acd-s_p.htm#8310","seven"
"*piuk","acd-s_p.htm#3998","dent, dimple"
"*pu-","acd-f_p.htm#10555","causative of motion"
"*puCaq","acd-s_p.htm#4013","foam, froth, lather"
"*pu-Caqi","acd-s_c2.htm#10535","to defecate"
"*pu-daNum","acd-s_d.htm#7462","to water, irrigate"
"*pudu","acd-s_p.htm#11016","fruit of the betel pepper"
"*puduN","acd-s_p.htm#4019","ball of thread; spool"
"*puja","acd-f_p.htm#6627","navel, umbilical cord"
"*pujek","acd-f_p.htm#6628","navel, umbilical cord"
"*pukaw","acd-f_p.htm#7524","night-blindness, nyctalopia"
"*puki","acd-s_p.htm#7143","vulva, vagina"
"*pukpuk","acd-s_p.htm#8647","to hammer, pound, beat"
"*pulu₁","acd-s_p.htm#4040","handle"
"*puluC","acd-s_p.htm#4039","a plant:"
"*puluŋ","acd-s_p.htm#11175","collection, gathering, assembly"
"*puluq₁","acd-s_p.htm#6902","group of ten"
"*p<um>anaq","acd-s_p.htm#6477","shoot with a bow"
"*p<um>ataS","acd-f_p.htm#11005","to tattoo, make designs"
"*p<um>ekpek","acd-s_p.htm#10894","(gloss uncertain)"
"*p<um>espes","acd-s_p.htm#7235","to massage"
"*p<um>iliq","acd-s_p.htm#8126","to choose, select, pick out"
"*puna-punay","acd-s_p.htm#8658","greenish fruit dove"
"*punay","acd-s_p.htm#8656","greenish fruit dove"
"*punuq₁","acd-f_p.htm#6645","brain, marrow"
"*puNi","acd-f_p.htm#6684","whiteness"
"*pu-ŋajan","acd-s_n4.htm#7500","(gloss uncertain)"
"*puŋuN","acd-s_p.htm#4081","bunch, cluster (of grain, fruit, areca nuts, etc.)"
"*puRuq","acd-s_p.htm#4058","a bird, the quail"
"*puSaN","acd-f_p.htm#6646","twice"
"*puteq","acd-s_p.htm#4063","gummy secretion"
"*punti₁","acd-s_p.htm#7783","banana"
"*putput₁","acd-s_p.htm#8670","to pluck, pull out"
"*putun₂","acd-s_p.htm#8266","to break off, cut off, as a limb"
"*qa₁","acd-s_q.htm#4395","locative particle"
"*qa₂","acd-f_q.htm#7526","interrogative particle"
"*qabaŋ₁","acd-s_q.htm#4097","boat, canoe"
"*qabaRa₁","acd-s_q.htm#4087","shoulder"
"*qabaRa-an","acd-s_q.htm#4089","shoulder (?)"
"*qabaS","acd-s_q.htm#4091","notch cut in a tree"
"*qabu","acd-s_q.htm#4114","ash, cinder, powder"
"*qabu-an","acd-s_q.htm#4121","place of ashes; hearth"
"*qaCay","acd-s_q.htm#4123","liver"
"*qaCeb","acd-s_q.htm#4137","deadfall trap to catch small mammals"
"*qaCi-","acd-s_q.htm#4140","prefix variant of the *qali/kali- set"
"*qaCi","acd-s_q.htm#4141","ebb, of water in streams"
"*qaCipa","acd-s_q.htm#4138","soft-shelled turtle"
"*qadiS","acd-f_q.htm#7125","hawk sp. (harrier?)"
"*qajaw","acd-s_q.htm#4148","day"
"*qajiS","acd-s_q.htm#12722","boundary"
"*qalad","acd-s_q.htm#4154","fence, wall"
"*qaleb","acd-s_q.htm#4156","knee"
"*qalep","acd-s_q.htm#4163","beckon, wave"
"*qali-","acd-s_q.htm#10074","prefix for words with a sensitive reference to the spirit world (cf. )"
"*qa-lima","acd-s_l.htm#9000","hand"
"*qalima","acd-s_q.htm#10227","hand"
"*qali-puju","acd-s_q.htm#4174","hair whorl"
"*qali-puju-an","acd-s_q.htm#8890","hair whorl"
"*qali-puspus","acd-s_q.htm#11699","whirlwind"
"*qalupaR","acd-s_q.htm#12783","persimmon"
"*qaluR₁","acd-s_q.htm#4183","current, deep channel in the middle of a river"
"*qalu-Sipan","acd-s_q.htm#4186","centipede"
"*qamiS","acd-s_q.htm#4198","north wind"
"*qamiS-an","acd-s_q.htm#4199","north; winter"
"*qa-ni","acd-s_n1.htm#3682","this; here"
"*qani₁","acd-s_q.htm#4232","proximal deictic: this"
"*qanibuŋ","acd-s_q.htm#4205","fruit-bearing bush or tree"
"*qaniS","acd-s_q.htm#4225","harvest; to harvest"
"*qanup","acd-s_q.htm#4247","to hunt wild game"
"*qanus₁","acd-f_q.htm#7084","a plant:  (Hay)"
"*qaNa","acd-f_q.htm#7126","stranger; enemy"
"*qaNeb","acd-s_q.htm#7258","door"
"*qaNeb","acd-s_q.htm#11114","close a door"
"*qaNeb-an","acd-s_q.htm#11116","door panel"
"*qaNi-","acd-s_q.htm#4230","variant of the *qali/kali- prefix"
"*qaNi","acd-s_q.htm#4231","weaving spindle"
"*qaNiC","acd-s_q.htm#4212","animal skin, hide, leather"
"*qaNiCu","acd-s_q.htm#4207","ghost, spirit of the dead; owl"
"*qaNi-matek","acd-s_m.htm#6862","jungle leech,  spp."
"*qaNi-meCaq","acd-s_m.htm#10104","paddy leech"
"*qaNiŋu","acd-s_q.htm#4233","'shadow, reflection"
"*qaNuaŋ","acd-s_q.htm#4241","large ruminant species: carabao, water buffalo (?)"
"*qaNuNaŋ","acd-s_q.htm#4243","a tree:"
"*qaNup-an","acd-s_q.htm#4249","hunting ground, hunting territory"
"*qaNup-en","acd-s_q.htm#4251","what is hunted, wild game"
"*qañud","acd-s_q.htm#4412","drift on a current, carried away by flowing water"
"*qaŋeliC","acd-s_q.htm#4398","stench of burning substances"
"*qaŋeRiS","acd-s_q.htm#4399","stench of spoiling fish"
"*qaŋeRu","acd-s_q.htm#4400","stench of spoiled or souring organic matter"
"*qaŋeseR","acd-s_q.htm#4402","stench of urine"
"*qaŋeSit","acd-s_q.htm#4403","stench, musky odor of an animal"
"*qaŋqaŋ","acd-s_q.htm#4410","barking of a dog"
"*qapejux","acd-s_q.htm#4258","gall, gall bladder, bile"
"*qapiC","acd-s_q.htm#7173","tongs, anything used to hold things together by pinching"
"*qapid","acd-s_q.htm#4264","braid, twine"
"*qapucuk","acd-s_q.htm#4266","peak of a mountain"
"*qapuR","acd-s_q.htm#4267","lime, calcium"
"*qaqay","acd-s_q.htm#4273","foot, leg"
"*qaRaw","acd-s_q.htm#4276","snatch, take away by force, rob"
"*qaRem","acd-s_q.htm#4280","pangolin, scaly anteater"
"*qaReNu","acd-s_q.htm#7082","a plant,  spp."
"*qaRidaŋ","acd-f_q.htm#6648","bean, pea (generic)"
"*qaRiw","acd-f_q.htm#6649","dry"
"*qaRsem","acd-s_q.htm#4286","sourness, acidity"
"*qasawa","acd-s_q.htm#4294","spouse: husband, wife"
"*qaseb","acd-s_q.htm#4302","smoke"
"*qasepa","acd-s_q.htm#4304","astringent"
"*qasiN","acd-s_q.htm#4308","saltiness, salty taste"
"*qasiRa","acd-s_q.htm#4325","salt"
"*qasiRa-en","acd-s_q.htm#4327","anything which has been salted"
"*qaSelu","acd-s_q.htm#4303","pestle"
"*qataq","acd-s_q.htm#4340","eat something raw"
"*qatimela","acd-s_q.htm#4357","flea"
"*qatip₁","acd-s_q.htm#4359","part of the loom"
"*qatip-an","acd-s_q.htm#4361","part of the loom"
"*qauŋ","acd-s_q.htm#4377","to howl, of a dog"
"*qauR","acd-s_q.htm#4373","bamboo sp."
"*qawqaw","acd-s_q.htm#4384","to bark, of a dog"
"*qayam₁","acd-s_q.htm#4386","bird"
"*qazi","acd-s_q.htm#4393","no, not; negator of verbs and adjectives (cf *, *, *)"
"*qebel","acd-s_q.htm#4421","smoke"
"*qeCah","acd-s_q.htm#4422","rice husk, rice bran"
"*qeCeŋ","acd-s_q.htm#4424","obstruction, barrier"
"*qeCeŋeN","acd-f_q.htm#6623","black"
"*qeCqeC","acd-s_q.htm#8522","tight, constricted"
"*qeCuR","acd-s_q.htm#4426","sexual arousal, sexual excitement"
"*qedet","acd-s_q.htm#4427","press down on"
"*qekuŋ","acd-s_q.htm#4432","owl"
"*qeleC","acd-s_q.htm#4436","interval, intervening space"
"*qelqel","acd-f_q.htm#6650","chew, gnaw on"
"*qelud","acd-f_q.htm#6593","housepost, pillar"
"*qemin","acd-s_q.htm#4446","all"
"*qemqem","acd-s_q.htm#4449","hold in the closed mouth"
"*qemu","acd-f_q.htm#6686","sticky rice cake"
"*qenay","acd-s_q.htm#4450","sand"
"*qenuR-an₁","acd-s_q.htm#4467","animal haunt, place frequented by animals"
"*qeNeb₁","acd-s_q.htm#4456","to close, to shut; door"
"*qeNeb₂","acd-s_q.htm#4459","spread all over"
"*qeNuR","acd-s_q.htm#4465","animal trail"
"*qepit","acd-s_q.htm#4472","squeeze, press between"
"*qesak","acd-s_q.htm#4478","ripe; cooked; ready to eat"
"*qesep","acd-s_q.htm#4481","sip, suck"
"*qesir","acd-s_q.htm#4483","hiss, sizzle"
"*qetaq","acd-s_q.htm#4485","eat something raw"
"*qetut","acd-s_q.htm#4497","fart, flatulence"
"*qia","acd-s_q.htm#4517","exclamation (probably of affirmation or confirmation)"
"*qiaw","acd-s_q.htm#4516","animal cry"
"*qiCeluR","acd-s_q.htm#4521","egg"
"*qiCqiC","acd-s_q.htm#4525","nibble off, gnaw off"
"*qidus","acd-s_q.htm#4530","spoon, ladle"
"*qiduS","acd-s_q.htm#4532","spoon, ladle"
"*qijap","acd-s_q.htm#4535","resent, blame; resentment, jealousy"
"*qiluS","acd-s_q.htm#4548","wipe after defecating"
"*qinep","acd-s_q.htm#4555","lie down to sleep"
"*q<in>umah","acd-s_q.htm#4694","(gloss uncertain)"
"*qiNaS","acd-f_q.htm#6687","moon, month"
"*qiNeb","acd-s_q.htm#4554","door"
"*qiNuaŋ","acd-s_q.htm#4560","large ruminant species"
"*qipiŋ","acd-s_q.htm#4565","incline one's head to the side"
"*qipit","acd-s_q.htm#4563","pincer of crustaceans; tongs; press together, pinch, squeeze"
"*qiRik","acd-s_q.htm#4576","thresh with the feet, as rice"
"*qiSqiS","acd-s_q.htm#12784","to rub hard on a surface"
"*qiSu","acd-s_q.htm#4586","shark"
"*qitik₁","acd-s_q.htm#4593","small, little; few"
"*qiuŋ₁","acd-s_q.htm#4599","natural sound"
"*qiut","acd-s_q.htm#4598","copulate, have sexual intercourse"
"*qu₂","acd-s_q.htm#4799","grammatical particle"
"*quaŋ₁","acd-s_q.htm#4618","empty, vacant"
"*quaŋ₂","acd-s_q.htm#4619","howling or yelping of a dog"
"*quay","acd-s_q.htm#4614","rattan,  sp."
"*qubaN","acd-s_q.htm#4621","gray hair"
"*qubiS","acd-f_q.htm#6651","pubic hair"
"*quCaN","acd-s_q.htm#4630","scrub-land, bush"
"*qudaŋ","acd-s_q.htm#4632","shrimp, crayfish, lobster"
"*qudaS","acd-f_q.htm#6652","gray hair"
"*qudem","acd-s_q.htm#4634","dark, dull (of light or color)"
"*qudip₁","acd-s_q.htm#4636","life, alive"
"*qujiŋ","acd-s_q.htm#4646","charcoal"
"*qukut","acd-s_q.htm#4651","hunched over, bowed (as with age)"
"*qulas","acd-f_q.htm#7189","dewdrop"
"*qulej","acd-s_q.htm#4656","type of small worm"
"*qules₁","acd-s_q.htm#4660","clothing"
"*qulu qulu","acd-s_q.htm#4682","head-end, upper part"
"*quluh","acd-s_q.htm#4673","head"
"*qulu-qulu","acd-s_q.htm#12785","tadpole, polywog"
"*qumah","acd-s_q.htm#4687","swidden, work a swidden"
"*q<um>ajaw","acd-s_q.htm#4151","to shine, of the sun"
"*quman","acd-s_q.htm#4696","repeat oneself monotonously"
"*q<um>aNiC","acd-s_q.htm#4214","to skin an animal"
"*q<um>aNup","acd-s_q.htm#4248","to hunt, go hunting"
"*qumaŋ","acd-s_q.htm#4701","hermit crab"
"*q<um>aŋqaŋ","acd-s_q.htm#4411","to bark, of a dog"
"*q<um>esep","acd-s_q.htm#4482","suck"
"*q<um>etut","acd-s_q.htm#4504","to fart, break wind"
"*(q)<um>uNah","acd-s_q.htm#9111","to do or go first; to lead"
"*qumuR","acd-s_q.htm#4710","fill the mouth with food or water"
"*q<um>uzaN","acd-s_q.htm#4788","to rain; it is raining"
"*(q)uNah","acd-s_q.htm#9110","first, before, anterior in time"
"*quNuNaŋ","acd-s_q.htm#4722","tree with sticky fruits:  spp."
"*quNuq","acd-s_q.htm#4723","beads, necklace of beads"
"*qupid","acd-s_q.htm#12786","braid"
"*qupuŋ","acd-s_q.htm#4729","bunch, cluster"
"*quriaw","acd-s_q.htm#4734","noise, clamor"
"*qusiR","acd-s_q.htm#5853","pursuit (as of enemies or game)"
"*quSaw","acd-s_q.htm#4748","thirst"
"*quSaw-an","acd-s_q.htm#4749","thirsty"
"*quSeNap","acd-s_q.htm#4743","fish scale"
"*quSeŋeC","acd-s_q.htm#4751","anger, angry"
"*quSuŋ","acd-s_q.htm#4753","edible mushroom (generic)"
"*qutiN","acd-s_q.htm#4768","penis"
"*quyaS","acd-f_q.htm#9074","to sing; song, tune, melody"
"*quzan-en","acd-s_q.htm#4790","to be rained on"
"*quzaN","acd-s_q.htm#4779","rain"
"*rakat","acd-s_r1.htm#4813","walk"
"*ramig","acd-s_r1.htm#10692","cold (of weather)"
"*rauC","acd-s_r1.htm#4833","peel rattan, bamboo"
"*rawraw","acd-s_r1.htm#4839","to rinse"
"*reken","acd-s_r1.htm#4868","coiled base on which hot cooking pots are set"
"*reŋeC","acd-s_r1.htm#4886","angry, annoyed"
"*reŋiC","acd-s_r1.htm#4887","grimace at pain"
"*riSriS","acd-f_r1.htm#6653","hoe up weeds; weed a garden"
"*Rabi-an","acd-s_r2.htm#7380","evening, night"
"*Rabiqi","acd-s_r2.htm#4806","late afternoon, evening; evening meal"
"*Rabi-Rabi","acd-s_r2.htm#7382","every night, happening every night"
"*RabiS","acd-f_r2.htm#7190","small knife"
"*RabuC","acd-s_r2.htm#6530","uproot, pull out by the roots"
"*RaCus","acd-s_r2.htm#7316","hundred"
"*Rahap","acd-f_r2.htm#8157","seeds for sowing"
"*RameC","acd-f_r2.htm#6594","root"
"*Rames","acd-s_r2.htm#4819","squeeze, knead"
"*RamiS","acd-f_r2.htm#6654","root"
"*Ra-RauS","acd-s_r2.htm#12734","a dip net"
"*RaSuŋ","acd-s_r2.htm#6678","ambush, attack from concealment"
"*RauS","acd-s_r2.htm#12733","scoop net"
"*Raya","acd-s_r2.htm#7358","big, large"
"*Reken","acd-s_r2.htm#4867","coiled base on which hot cooking pots are set"
"*ReŋeC","acd-s_r2.htm#9447","angry, annoyed"
"*Riaq","acd-s_r2.htm#4900","sword grass:"
"*RibaS","acd-s_r2.htm#4902","demolish"
"*Ribawa","acd-f_r2.htm#6688","swell; swelling, tumor"
"*Rimeja","acd-f_r2.htm#6689","sword grass:"
"*Rinu","acd-s_r2.htm#7301","winnowing basket"
"*RiNaS","acd-f_r2.htm#6595","long feathers used for personal adornment"
"*RiNaS-an","acd-f_r2.htm#6596","the male of Swinhoe’s blue pheasant"
"*RiNuk","acd-s_r2.htm#12687","the Japanese raspberry:  (Linn.),  (Matsum.)"
"*Riqek","acd-s_r2.htm#4914","thresh grain by trampling"
"*Ritu","acd-f_r2.htm#6629","loquat tree and fruit:"
"*Rubu","acd-f_r2.htm#6597","nest, lair"
"*Rudaŋ","acd-s_r2.htm#7581","old, of people"
"*R<um>ahap","acd-f_r2.htm#8158","to sow seeds"
"*Rumaq","acd-s_r2.htm#7303","house"
"*RuqaNay","acd-s_r2.htm#4938","male"
"*Rusuk","acd-s_r2.htm#8475","ribcage"
"*RuSRuS","acd-f_r2.htm#7297","to scrape smooth, to plane a surface"
"*sa₁","acd-s_s1.htm#8809","nominative case marker for plural personal names"
"*sa₂","acd-s_s1.htm#9514","locative marker"
"*sa₃","acd-s_s1.htm#9545","one (clitic form of *esa)"
"*sabay₁","acd-s_s1.htm#9075","do something together with others"
"*sabsab","acd-s_s1.htm#9102","slurp up food or water, eat like a pig or dog; gulp down"
"*saheNaR","acd-s_s1.htm#9156","to shine, of the sun"
"*sakal","acd-s_s1.htm#4982","restraining device on animals"
"*saka-pitu","acd-s_p.htm#8321","(gloss uncertain)"
"*sakat","acd-s_s1.htm#4984","rise, climb up"
